event,date,1Ball,2Ball,3Ball,Fireball
"Evening","01/08/2020","2","6","3","9"
"Evening","01/07/2020","8","3","7","4"
"Evening","01/06/2020","5","2","8","5"
"Evening","01/05/2020","5","3","3","6"
"Evening","01/04/2020","0","0","8","5"
"Evening","01/03/2020","1","4","7","3"
"Evening","01/02/2020","3","0","8","0"
"Evening","01/01/2020","9","9","2","1"
"Evening","12/31/2019","9","7","7","2"
"Midday","11/20/2020","7","9","6","7"
"Midday","11/19/2020","5","4","4","3"
"Midday","11/18/2020","1","7","5","1"
"Midday","11/17/2020","9","7","1","1"
"Midday","11/16/2020","5","7","3","1"
"Midday","11/15/2020","6","5","7","7"
"Midday","11/14/2020","7","0","0","1"
"Midday","11/13/2020","2","5","1","3"
"Midday","11/12/2020","3","1","2","9"
"Midday","11/11/2020","5","0","7","4"
"Midday","11/10/2020","3","5","2","9"
"Midday","11/09/2020","9","8","3","7"
"Midday","11/08/2020","0","2","1","1"
"Midday","11/07/2020","6","3","3","1"
"Midday","11/06/2020","0","9","4","1"
"Midday","11/05/2020","9","2","0","2"
"Midday","11/04/2020","3","7","9","5"
"Midday","11/03/2020","6","4","2","3"
"Midday","11/02/2020","3","5","4","5"
"Midday","11/01/2020","0","4","5","0"
"Midday","10/31/2020","3","9","6","7"
"Midday","10/30/2020","0","1","8","5"
"Midday","10/29/2020","9","4","6","7"
"Midday","10/28/2020","4","9","4","3"
"Midday","10/27/2020","2","8","4","1"
"Midday","10/26/2020","6","9","5","1"
"Midday","10/25/2020","3","8","6","5"
"Midday","10/24/2020","3","7","6","6"
"Midday","10/23/2020","2","0","2","9"
"Midday","10/22/2020","6","9","4","8"
"Midday","10/21/2020","9","9","7","2"
"Midday","10/20/2020","6","4","2","4"
"Midday","10/19/2020","0","8","6","1"
"Midday","10/18/2020","8","0","3","4"
"Midday","10/17/2020","2","2","8","1"
"Midday","10/16/2020","2","9","6","6"
"Midday","10/15/2020","5","2","7","2"
"Midday","10/14/2020","6","6","0","0"
"Midday","10/13/2020","6","2","1","1"
"Midday","10/12/2020","7","8","8","6"
"Midday","10/11/2020","5","7","7","6"
"Midday","10/10/2020","3","0","9","3"
"Midday","10/09/2020","7","0","3","0"
"Midday","10/08/2020","2","4","2","7"
"Midday","10/07/2020","2","8","9","7"
"Midday","10/06/2020","0","4","7","7"
"Midday","10/05/2020","4","9","1","2"
"Midday","10/04/2020","5","9","6","3"
"Midday","10/03/2020","2","6","4","0"
"Midday","10/02/2020","0","1","0","8"
"Midday","10/01/2020","2","8","5","1"
"Midday","09/30/2020","9","7","3","2"
"Midday","09/29/2020","4","2","0","1"
"Midday","09/28/2020","6","1","6","3"
"Midday","09/27/2020","6","2","7","6"
"Midday","09/26/2020","0","9","7","3"
"Midday","09/25/2020","9","1","7","8"
"Midday","09/24/2020","8","3","4","5"
"Midday","09/23/2020","6","1","6","8"
"Midday","09/22/2020","3","3","2","0"
"Midday","09/21/2020","0","1","3","1"
"Midday","09/20/2020","0","3","1","3"
"Midday","09/19/2020","5","3","2","7"
"Midday","09/18/2020","1","7","2","2"
"Midday","09/17/2020","1","8","1","7"
"Midday","09/16/2020","7","1","2","6"
"Midday","09/15/2020","3","9","1","0"
"Midday","09/14/2020","2","5","4","1"
"Midday","09/13/2020","8","7","9","1"
"Midday","09/12/2020","5","3","0","5"
"Midday","09/11/2020","1","0","0","6"
"Midday","09/10/2020","2","1","0","9"
"Midday","09/09/2020","1","0","5","3"
"Midday","09/08/2020","3","1","0","0"
"Midday","09/07/2020","3","9","0","5"
"Midday","09/06/2020","3","6","5","6"
"Midday","09/05/2020","1","3","3","0"
"Midday","09/04/2020","2","5","3","9"
"Midday","09/03/2020","6","3","1","1"
"Midday","09/02/2020","4","2","9","2"
"Midday","09/01/2020","9","0","7","6"
"Midday","08/31/2020","8","0","9","4"
"Midday","08/30/2020","6","8","0","3"
"Midday","08/29/2020","5","1","8","8"
"Midday","08/28/2020","2","3","6","6"
"Midday","08/27/2020","6","8","1","0"
"Midday","08/26/2020","1","0","9","1"
"Midday","08/25/2020","1","0","2","2"
"Midday","08/24/2020","3","8","7","9"
"Midday","08/23/2020","1","5","6","3"
"Midday","08/22/2020","4","4","5","5"
"Midday","08/21/2020","9","9","9","6"
"Midday","08/20/2020","8","7","8","7"
"Midday","08/19/2020","1","6","0","5"
"Midday","08/18/2020","0","9","4","1"
"Midday","08/17/2020","2","8","0","1"
"Midday","08/16/2020","6","1","3","8"
"Midday","08/15/2020","5","5","6","2"
"Midday","08/14/2020","5","5","3","0"
"Midday","08/13/2020","3","9","3","0"
"Midday","08/12/2020","0","3","0","6"
"Midday","08/11/2020","1","1","9","9"
"Midday","08/10/2020","5","3","6","1"
"Midday","08/09/2020","8","2","4","8"
"Midday","08/08/2020","9","6","8","7"
"Midday","08/07/2020","8","4","2","4"
"Midday","08/06/2020","9","9","7","8"
"Midday","08/05/2020","2","4","7","2"
"Midday","08/04/2020","6","2","6","9"
"Midday","08/03/2020","2","0","7","2"
"Midday","08/02/2020","8","1","8","0"
"Midday","08/01/2020","6","7","3","6"
"Midday","07/31/2020","9","1","6","3"
"Midday","07/30/2020","5","3","3","5"
"Midday","07/29/2020","3","1","1","4"
"Midday","07/28/2020","7","9","0","7"
"Midday","07/27/2020","7","2","0","5"
"Midday","07/26/2020","6","7","1","4"
"Midday","07/25/2020","8","8","8","4"
"Midday","07/24/2020","3","7","1","0"
"Midday","07/23/2020","7","1","6","4"
"Midday","07/22/2020","7","9","9","1"
"Midday","07/21/2020","4","5","1","9"
"Midday","07/20/2020","1","0","8","0"
"Midday","07/19/2020","5","4","8","2"
"Midday","07/18/2020","4","6","2","2"
"Midday","07/17/2020","4","9","9","5"
"Midday","07/16/2020","8","3","4","2"
"Midday","07/15/2020","5","8","1","7"
"Midday","07/14/2020","8","1","6","0"
"Midday","07/13/2020","2","5","5","1"
"Midday","07/12/2020","8","1","6","7"
"Midday","07/11/2020","8","2","1","7"
"Midday","07/10/2020","5","1","3","7"
"Midday","07/09/2020","4","9","8","7"
"Midday","07/08/2020","2","5","8","4"
"Midday","07/07/2020","1","7","3","8"
"Midday","07/06/2020","8","3","5","7"
"Midday","07/05/2020","6","3","6","7"
"Midday","07/04/2020","2","3","0","4"
"Midday","07/03/2020","3","9","5","8"
"Midday","07/02/2020","0","2","8","0"
"Midday","07/01/2020","2","4","4","8"
"Midday","06/30/2020","3","2","0","0"
"Midday","06/29/2020","8","8","0","8"
"Midday","06/28/2020","1","4","0","0"
"Midday","06/27/2020","3","6","0","1"
"Midday","06/26/2020","5","5","2","2"
"Midday","06/25/2020","9","0","7","6"
"Midday","06/24/2020","7","2","1","0"
"Midday","06/23/2020","8","7","2","7"
"Midday","06/22/2020","9","0","5","7"
"Midday","06/21/2020","7","0","9","5"
"Midday","06/20/2020","4","9","5","2"
"Midday","06/19/2020","8","4","9","8"
"Midday","06/18/2020","5","7","1","0"
"Midday","06/17/2020","9","4","4","6"
"Midday","06/16/2020","8","4","2","8"
"Midday","06/15/2020","9","0","3","1"
"Midday","06/14/2020","7","0","3","9"
"Midday","06/13/2020","8","2","3","0"
"Midday","06/12/2020","6","9","9","6"
"Midday","06/11/2020","7","0","8","6"
"Midday","06/10/2020","4","0","2","2"
"Midday","06/09/2020","5","5","4","6"
"Midday","06/08/2020","3","0","6","6"
"Midday","06/07/2020","9","7","6","5"
"Midday","06/06/2020","1","0","7","5"
"Midday","06/05/2020","2","6","1","7"
"Midday","06/04/2020","4","3","0","9"
"Midday","06/03/2020","9","9","0","1"
"Midday","06/02/2020","8","9","1","9"
"Midday","06/01/2020","6","8","8","8"
"Midday","05/31/2020","2","2","9","3"
"Midday","05/30/2020","2","7","5","1"
"Midday","05/29/2020","9","3","6","2"
"Midday","05/28/2020","0","4","9","1"
"Midday","05/27/2020","8","2","9","8"
"Midday","05/26/2020","9","6","4","9"
"Midday","05/25/2020","8","9","2","5"
"Midday","05/24/2020","0","6","6","3"
"Midday","05/23/2020","9","2","5","9"
"Midday","05/22/2020","7","8","3","5"
"Midday","05/21/2020","1","2","7","8"
"Midday","05/20/2020","5","8","4","4"
"Midday","05/19/2020","3","2","5","8"
"Midday","05/18/2020","0","2","1","3"
"Midday","05/17/2020","0","0","3","0"
"Midday","05/16/2020","8","1","7","9"
"Midday","05/15/2020","0","8","0","4"
"Midday","05/14/2020","7","3","8","0"
"Midday","05/13/2020","2","4","9","1"
"Midday","05/12/2020","1","1","0","3"
"Midday","05/11/2020","2","5","0","6"
"Midday","05/10/2020","7","9","1","2"
"Midday","05/09/2020","4","8","2","8"
"Midday","05/08/2020","2","0","1","4"
"Midday","05/07/2020","6","6","0","4"
"Midday","05/06/2020","6","2","1","9"
"Midday","05/05/2020","4","4","8","2"
"Midday","05/04/2020","2","2","1","8"
"Midday","05/03/2020","4","7","7","2"
"Midday","05/02/2020","3","6","5","0"
"Midday","05/01/2020","7","3","9","9"
"Midday","04/30/2020","4","2","7","2"
"Midday","04/29/2020","1","8","5","2"
"Midday","04/28/2020","9","9","2","9"
"Midday","04/27/2020","3","7","2","9"
"Midday","04/26/2020","4","0","4","9"
"Midday","04/25/2020","8","7","8","4"
"Midday","04/24/2020","8","2","8","2"
"Midday","04/23/2020","4","3","8","2"
